 Game Name,Dataset,Steam Id,Notes,"Format (720p, 720p60fps, etc)",Video Title,Video Url
Broforce,broforce,274190,,"1080p60HD, 720p60",Broforce Gameplay Walkthrough FULL Game - No Commentary Longplay (PC),https://www.youtube.com/watch?v=Q_wQIKXG5rE
Metal Slug,metal-slug,366250,,"2160p60k,1440p60HD,1080p60HD,720P60",Metal Slug: Awakening (2023) FULL GAME Gameplay Walkthrough (4K 60FPS) No Commentary,https://www.youtube.com/watch?v=OvD9XTiYDBA
Metal Slug 2,metal-slug,366260,,720p,Metal Slug 2 Neo-Geo [Complete Playthrough/No Commentary],https://www.youtube.com/watch?v=mYlVhMZu6JM
Metal Slug 3,metal-slug,1921810,,720p,METAL SLUG 3 Full Game Walkthrough - No Commentary (Metal Slug 3 Full Game NEO GEO),https://www.youtube.com/watch?v=EDIOHgecHig
TowerFall,towerfall,251470,border along the screen,"1080p60HD, 720p",Towerfall Ascension: PC Full Gameplay - All Levels (No Commentary),https://www.youtube.com/watch?v=IoVfke4-cpM
Chasm,chasm,312200,,720p60,Chasm 100% Walkthrough Gameplay Full Game (No Commentary),https://www.youtube.com/watch?v=tnS1Talap1k
"Momodora: Reverie Under The Moonlight",momodora-reverie-under-the-moonlight,428550,minimize the sreen black border,720p60,Momodora: Reverie Under the Moonlight - Hard Mode Playthrough Part 1 [No Commentary],https://www.youtube.com/watch?v=obsQCfR_x2c&list=PLXDU7kctGToHF7-2vet_WrBXUu7beV8EJ
Rogue Legacy,rogue-legacy,241600,,720p,Rogue Legacy - Full Game Playthrough (No Commentary),https://www.youtube.com/watch?v=M0F7mMuk3J8
Rogue Legacy 2,rogue-legacy,1253920,,720p,Rogue Legacy 2 Longplay - No Commentary,https://www.youtube.com/watch?v=dgsoHtYmOyA
Mark of the Ninja,mark-of-the-ninja,214560,,"1080pHD, 720p",Mark of the Ninja: Remastered Full Walkthrough Gameplay No Commentary (Longplay),https://www.youtube.com/watch?v=FuiAnX2rf_o
Axiom Verge,axiom-verge,332200,,"1080p60HD, 720p60",Axiom Verge - Full Game Playthrough & True Ending (No Commentary),https://www.youtube.com/watch?v=s4jD18Qcxyw
Axiom Verge 2,axiom-verge,946030,,"1080pHD, 720p",Axiom Verge 2 - Full Game Walkthrough (Gameplay),https://www.youtube.com/watch?v=CB_5988PDzc
Ghost 1.0,ghost-1.0,463270,,"1080pHD, 720p",Ghost 1.0 | #1 - Houston We have a Problem | Let's Play | No Commentary,https://www.youtube.com/watch?v=aWfOOPImrck&list=PLe8c1Yv4TyK_8ybUcwfzNdINZFaSo-0tM
HammerTing,hammerting,760650,,720p60,TheMidCoreGamer Plays Hammerting (No Commentary Gameplay),https://www.youtube.com/watch?v=jYufG6umpYg
Inmost,inmost,938560,,"1080p60HD, 720p60",INMOST - Full Game Gameplay Walkthrough (No Commentary),https://www.youtube.com/watch?v=ChsQDlUQpks
Craft The World,craft-the-world,248390,,"1080p60HD, 720p60",Craft the World Gameplay Walkthrough (No Commentary) PC,https://www.youtube.com/watch?v=prCxB9voCO8
King Arthur's Gold,king-arthurs-gold,219830,,"1080p60HD, 720p60",King Arthur's Gold Build 1500 story mode gameplay HD 1080p 60fps,https://www.youtube.com/watch?v=ZyUNMLGgh8g
"The Messenger
",the-messenger,764790,,"1080p60HD, 720p60",The Messenger - Full Game Longplay (No Commentary),https://www.youtube.com/watch?v=2TTpCgk--cc
The Vagrant,the-vagrant,598700,,"1080pHD, 720p",The Vagrant Full Walkthrough Gameplay No Commentary (Longplay),https://www.youtube.com/watch?v=lCUHUGv43kc
Barotrauma,barotrauma,602960,,"1080p60HD, 720p60",Barotrauma Gameplay Walkthrough [1080p FHD 60FPS ULTRA] - No Commentary,https://www.youtube.com/watch?v=iWy6vz13P08
Turbo Kid,turbo-kid,1733250,,"1440P,720p, 1080pHD",TURBO KID Gameplay Walkthrough FULL GAME No Commentary + ENDING,https://www.youtube.com/watch?v=HjL2u_HuoMg
Cult of the Lamb,cult-of-the-lamb,1313140,,"1080p60HD, 720p60",Cult Of The Lamb: Full Game Gameplay 100% [No Commentary] [not speeded],https://www.youtube.com/watch?v=8ueuKSm7Af0
sea of start,sea-start,1244090,,"1080p60HD, 720p61",Sea of Stars – Walkthrough Full Game - All Achievements Part 1 - No Commentary,https://www.youtube.com/playlist?list=PLBkHvHXBOzQg1iIwGV0ABq1z7kOljJdlL
Black Skylands,black-skylands,1143810,,"1080p60HD, 720p60",Black Skylands | Full Game Playthrough,https://www.youtube.com/watch?v=QjJY2wAr5U8
Fallout,fallout,38400,,"2160p60HD,1440p60HD,1080p60HD,720p60",Fallout: A Post Nuclear R.P.G. 100% Walkthrough - Longplay [No Commentary] [4K] Hard/Rough Combat,https://www.youtube.com/watch?v=0DjxD11MuAw
Fallout 2,fallout,38410,,720p60,Fallout 2: 100% Walkthrough (Unarmed) - Longplay Act 1 [No Commentary] Hard/Rough Combat,https://www.youtube.com/watch?v=z8zmZhLJhYM
Fallout 2,fallout,38410,,720p60,Fallout 2: 100% Walkthrough (Unarmed) - Longplay Act 2 [No Commentary] Hard/Rough Combat,https://www.youtube.com/watch?v=UMvysjWv5EA
Hades,hades,1145360,,"2160p60HD,1440p60HD,1080p60HD,720p60",HADES Full Gameplay Walkthrough / No Commentary 【FULL GAME】4K Ultra HD,https://www.youtube.com/watch?v=dPmMCzvLs9E
Crypt of Necrodancer,crypt-necrodancer,247080,,720p,Let's Play - Crypt of NecroDancer - No Commentary PS4 Gameplay,https://www.youtube.com/watch?v=nmZoRXHmx_E
Hotline Miami,hotline-miami,219150,,"1080p60HD, 720p60",Hotline Miami - Full Game (No Commentary),https://www.youtube.com/watch?v=sOkbTx8tBfs
SYNTHETIK: Legion Rising,synthetik-legion-rising,528230,,"1080pHD, 720p",SYNTHETIK Legion Rising Gameplay no commentary,https://www.youtube.com/watch?v=63qCeCtGg5E
CrossCode,crosscode,368340,full playlist,,Crosscode Walkthrough/Playthrough Prologue-Chapter 2 No Commentary,https://www.youtube.com/playlist?list=PLezyANuDarg19Q9FL6WwbW5tYEEpJGbSj
Empires of the Undergrowth,empires-of-the-undergrowth,463530,,"1080p60HD, 720p60",Empires of the Undergrowth - Fire Ant Update Full Playthrough - No Commentary Gameplay,https://www.youtube.com/watch?v=eBVhxLblOug
Graveyard Keeper,graveyard-keeper,599140,,"1080p60HD, 720p60",Sleepy Graveyard Keeper Longplay 👻 Growing My Zombie Army 🧟 Spooky Farming 🌾(No Commentary 🙊),https://www.youtube.com/watch?v=OgnFyG7ctXs
Halcyon 6,halcyon-6,651660,,,,
Helldivers,helldivers,394510,,,Helldivers Walkthrough,https://www.youtube.com/playlist?list=PLmhcZSV2i1wFI6pHP1EBvzCjKrHRy37zQ
Industries of Titan,industries-of-titan,427940,,"1440p60HD,1080p60HD, 720p60",It Is Finally Released...Lets Go!! - Industries Of Titan - 1,https://www.youtube.com/watch?v=C9mn9zgDn9Q&list=PL-cZMEW9hgAWrvdBIDNQ0bN_kllIvHQQU
Industries of Titan,industries-of-titan,427940,,"1440p60HD,1080p60HD, 720p60",Industries of Titan Early Access | Gameplay Walkthrough | Part 2 (No Commentary),https://www.youtube.com/watch?v=SRH8dHaGTYo
Wayward,wayward,379210,,720p,Wayward - Casual (No Commentary) (Longplay) #1,https://www.youtube.com/watch?v=Apnow5BUOJE
Wayward,wayward,379210,,720p,Wayward - Casual (No Commentary) (Longplay) #2,https://www.youtube.com/watch?v=AscMTeirtXg
Downwell,downwell,360740,,"1080p60HD, 720p60",Downwell - Full Gameplay Walkthrough HARD MODE | No Commentary|,https://www.youtube.com/watch?v=sy0YBCnautY
Hardcore Mecha,hardcore-mecha,746580,,720p60,Hardcore Mecha : Campaign | Gameplay | Walkthrought | Longplay | No Commentary (PS4),https://www.youtube.com/watch?v=fCARVDTglps
Rebel Transmute,rebel-transmute,1191660,,"1440pHD,1080pHD, 720p",REBEL TRANSMUTE Gameplay Walkthrough FULL GAME No Commentary + Ending,https://www.youtube.com/watch?v=IX6CD3jXKCg
Cave Story,cave-story,200900,,"1080p60HD, 720p60",Cave Story+ 100% Walkthrough [No commentary] | Nintendo Switch,https://www.youtube.com/watch?v=Jv-7EfP8Aig
Rusted Moss,rusted-moss,1772830,,"1080p60HD, 720p60",RUSTED MOSS Gameplay Walkthrough FULL GAME - No Commentary,https://www.youtube.com/watch?v=MBEU3ekB2Cg
Oxygen Not Included,oxygen-not-included,457140,,"1080p60HD, 720p60",Oxygen Not Included ⊳ Gameplay PART 1 - No Commentary【Walkthrough | 1080p Full HD 60FPS PC 】,https://www.youtube.com/watch?v=iIuZSiXVo-o
Oxygen Not Included,oxygen-not-included,457140,,"1080p60HD, 720p60","Lofi Oxygen Not Included. Relax, Study, Sleep. (No commentary) Part 2",https://www.youtube.com/watch?v=I8XJL_hvpwA
Katanna Zero,katanna-zero,460950,,"1080p60HD, 720p61",Katana ZERO - Full Game Playthrough (Edited) (No Commentary),https://www.youtube.com/watch?v=1GkqYgIKh98
Dogolrax,dogolrax,599960,,720p,Dogolrax Gameplay walkthrough part 1,https://www.youtube.com/watch?v=kk7XWcIH2BA
Dogolrax,dogolrax,599960,,720p,Dogolrax Gameplay walkthrough part 2 [FINISH - END].,https://www.youtube.com/watch?v=pnGtyGTm2OE
SPAZ: Space Pirates vs Zombies,spaz-space-pirates-vs-zombies,107200,,720p,"SpacePiratesAndZombies - Gameplay, no commentary",https://www.youtube.com/watch?v=_6D4ewAg5yo
Starcom: Nexus,starcom-nexus,863590,,"1080pHD, 720p",Starcom: Unknown Space - Full Play Through - EA version.,https://www.youtube.com/watch?v=H4St6lPckyM
Space Rangers HD: A War Apart,space-rangers-hd-a-war-apart,214730,,"1080pHD, 720p",Space Rangers HD: A War Apart (PC),https://www.youtube.com/watch?v=c74Hb3hT3Bg
Crying Suns,crying-suns,873940,,"1080p60HD, 720p60",Crying Suns gameplay [no commentary],https://www.youtube.com/watch?v=ti3eaGekxa8
Astro Aqua Kitty,astro-aqua-kitty,1346390,,"1080pHD, 720p",Aqua Kitty (Xbox Indie Game) Walkthrough,https://www.youtube.com/watch?v=qXXrK97kUG8
Stellaris,stellaris,281990,,"1080pHD, 720p",10 Hours of... Stellaris! │ Dactyl Longplays #stellaris,https://www.youtube.com/watch?v=-47O6vV7V5M
Distant Worlds 2,distant-worlds,1531540,,"1440pHD,1080p60HD, 720p60",Distant Worlds 2 Gameplay | Ackdarian Technocracy | Part 1 (No Commentary),https://www.youtube.com/watch?v=h8QYSjgJGjI
Distant Worlds 2,distant-worlds,1531540,,"1440pHD,1080p60HD, 720p61",Distant Worlds 2 Gameplay | Ackdarian Technocracy | Part 2 (No Commentary),https://www.youtube.com/watch?v=t4OKvHc23mA
Nova Drift,nova-drift,858210,,"1080p60HD, 720p60",Nova Drift - Gameplay (No Commentary),https://www.youtube.com/watch?v=Nt3JpHKqzi4
Trappist,trappist,2769820,,"1080p60HD, 720p60",Trappist Game play (No Commentary),https://www.youtube.com/watch?v=v5GPzKj6fYI
The Last Federation,the-last-federation,273070,,"1080p60HD, 720p60",Lets Play: The Last Federation - The Lost Technologies E01.,https://www.youtube.com/watch?v=zDkpLO-V6Ng
Ai War,ai-war,2052270,,,,
Ai War 2,ai-war,573410,,"1080pHD, 720p",AI War 2 - Game 1 - Longplay [No Commentary],https://www.youtube.com/watch?v=aMKMrguFSV0
AI War: Fleet Command,ai-war,40400,,720p,AI War Fleet Command,https://www.youtube.com/watch?v=AtkwVxgtf5U
Escape Velocity Nova,escape-velocity-nova,,,"1080p60HD, 720p60",EV Nova: PC Full Gameplay - All Storylines (No Commentary),https://www.youtube.com/watch?v=v8VZqazm8Sw
Ixion,ixion,1113120,,"2160p60HD,1440p60HD,1080p60HD,720p60",IXION Gameplay Part 1 FULL GAME [4K 60FPS] - No Commentary,https://www.youtube.com/watch?v=J1QQoqE_BbQ
Ixion,ixion,1113120,,"1080p60HD, 720p60",IXION Gameplay - Part 2 [no commentary],https://www.youtube.com/watch?v=63MX22m_Xp0
Eufloria HD,eufloria-hd,221180,,"1080pHD, 720p",Let's Play: Eufloria HD,https://www.youtube.com/watch?v=pckRm8S5-Og
Fabular Once Upon A Spacetime,fabular-once-upon-a-spacetime,645720,,"1440p60HD,1080p60HD, 720p60",Fabular: Once Upon a Spacetime [2K 60FPS PC] - No Commentary,https://www.youtube.com/watch?v=dGY0DDrbmkg
Unending Galaxy,unending-galaxy,439720,,"1080p60HD, 720p60",Unending Galaxy gameplay PC HD [1080p/60fps],https://www.youtube.com/watch?v=92U9Dcdybxw
Highfleet,highfleet,1434950,,"1080p60HD, 720p60","HIGHFLEET - Assaulting Khiva, (Beware Spoi-Holy SH***)",https://www.youtube.com/watch?v=lYbsbKtY_80
Gibbon: Beyond the Trees,gibbon-beyond-the-trees,1837330,,"1440pHD,1080p60HD, 720p60",GIBBON: BEYOND THE TREES 🐵 - FULL GAME SPEEDRUN 1440p,https://www.youtube.com/watch?v=dUACq2AUiT4
Keplerth,keplerth,747200,,"1080p60HD, 720p60",Keplerth - Full Playthrough (part 1) - Starting Full Release Tough and Expert World - Let's Play!,https://www.youtube.com/watch?v=Rk7tsN8h-4A
