 Game Name,Dataset,Steam Id,Notes,"Format (720p, 720p60fps, etc)",Video Title,Video Url
Destroy All Humans!,destroy-all-humans,803330,,"1080p60HD, 720p60","Destroy All Humans Remake - Full Game Gameplay Walkthrough (No Commentary, PS4 PRO)",https://www.youtube.com/watch?v=MbD9ho2PPsY
Lies of P,lies-of-p,1627720,,"2160p60 4k,1440p60HD,1080p60HD,720P61",LIES OF P Gameplay Walkthrough FULL GAME (4K 60FPS) No Commentary,https://www.youtube.com/watch?v=ZmlZCMn7Jjw
Elden Ring,elden-ring,1245620,,"2160p60 4k,1440p60HD,1080p60HD,720P61",ELDEN RING Gameplay Walkthrough FULL GAME [4K 60FPS PS5] - No Commentary,https://www.youtube.com/watch?v=bg8i4CvE74M
Grand Theft Auto: Vice City,grand-theft-auto,1546990,,"2160p60 4k,1440p60HD,1080p60HD,720P61",GTA VICE CITY Gameplay Walkthrough FULL GAME [4K 60FPS PS5] - No Commentary,https://www.youtube.com/watch?v=tdDTeLE9WGs
Grand Theft Auto: San Andreas,grand-theft-auto,1547000,,"2160p60 4k,1440p60HD,1080p60HD,720P61",GTA San Andreas - Full Game Walkthrough in 4K,https://www.youtube.com/watch?v=ZaqpcybxUqs
The Enternal Cylinder,the-enternal-cylinder,865680,,"1080p60HD, 720p60",The Eternal Cylinder | Full Game Gameplay Walkthrough (No Commentary),https://www.youtube.com/watch?v=ExOpT__f23g
Helldivers 2,helldivers-2,553850,,"1080p60HD, 720p60",HELLDIVERS 2 | Full Game Walkthrough | No Commentary,https://www.youtube.com/watch?v=RlPE6htipos
Hogwarts Legacy,hogwarts-legacy,990080,,"2160p60 4k,1440p60HD,1080p60HD,720P61",HOGWARTS LEGACY Full Gameplay Walkthrough / No Commentary 【FULL GAME】4K 60FPS Ultra HD,https://www.youtube.com/watch?v=JHMHaIYK3ik
Icarus,icarus,1149460,,"1080p60HD, 720p60",ICARUS (2024) Full Game - Longplay Walkthrough No Commentary,https://www.youtube.com/watch?v=WdSTI63x18w
Terminator: Resistance,terminator-resistance,954740,,"2160p60 4k,1440p60HD,1080p60HD,720P61",TERMINATOR RESISTANCE Full Gameplay Walkthrough / No Commentary【FULL GAME】4K UHD,https://www.youtube.com/watch?v=CDjsnv92k7I
Valheim,valheim,892970,,"1080pHD, 720p",Valheim - Longplay Part 1 (Meadows & Black Forest) Full Game Walkthrough [No Commentary],https://www.youtube.com/watch?v=RNTAle714nY&list=PLWC6-binampZ_DmLu-seoB7IHeaApcXqD
Cyberpunk 2077,cyberpunk-2077,1091500,,"2160p60 4k,1440p60HD,1080p60HD,720P61",Cyberpunk 2077 (2023) Full Walkthrough Gameplay - No Commentary 4K (PC Longplay),https://www.youtube.com/watch?v=qOmhC7wPG6M
Terra Invicta,terra-invicta,1176470,,"1080pHD, 720p",Terra Invicta - Resistance Playthrough Start,https://www.youtube.com/watch?v=tyq-ZcmjFu8&list=PLRY6EVZy1IhoOZ1AElU6k7lPURPo0LBEj
Kenshi,kenshi,233860,,"1440p60HD,1080p60HD,720P60",ONE ARM AND A DREAM | Kenshi 'Rock Bottom Start' Gameplay | Episode 1 - The Journey Begins,https://www.youtube.com/watch?v=ebXO6S7up2g&list=PLMk50gTih9upMjXP6jhufIlXPHXJEKIax&index=1
Satisfactory,satisfactory,526870,,"1080p60HD, 720p60",Building an Automated INDUSTRIAL MINING EMPIRE! | Satisfactory Early Access Alpha Gameplay Ep 1,https://www.youtube.com/watch?v=fHTSWBxZlvs&list=PLgI1BWERtGXLelYZE772VOgyPjgCKsP0Z
Space Engineers,space-engineers,244850,full playlist,"1080p50HD, 720p50",Space Engineers S 01 EP 001,https://www.youtube.com/watch?v=ojLXkTWO8X0&list=PLEUYOBR8sTygjUQ-F_6hMAPm0qU4XNHNT
No Man's Sky,no-mans-sky,244850,,"1080p60HD, 720p60",No Man’s Sky 2024 - Full Gameplay Longplay Walkthrough No Commentary,https://www.youtube.com/watch?v=BwOzT9MaSy0
